Code INS;Entités administratives;Langue;Code NIS;Administratieve eenheden;Taal;;;;;;;;;
53028;Frameries;F;53028;Frameries;F;;;;;;;;;
53039;Hensies;F;53039;Hensies;F;;;;;;;;;
53083;Honnelles;F;53083;Honnelles;F;;;;;;;;;
53044;Jurbise;F;53044;Jurbeke;F;;;;;;;;;
53046;Lens;F;53046;Lens;F;;;;;;;;;
53053;Mons;F;53053;Bergen;F;;;;;;;;;
53065;Quaregnon;F;53065;Quaregnon;F;;;;;;;;;
53084;Quévy;F;53084;Quévy;F;;;;;;;;;
53068;Quiévrain;F;53068;Quiévrain;F;;;;;;;;;
53070;Saint-Ghislain;F;53070;Saint-Ghislain;F;;;;;;;;;
55000;Arrondissement de Soignies;;55000;Arrondissement Zinnik;;;;;;;;;;
55004;Braine-le-Comte;F;55004;'s Gravenbrakel;F;;;;;;;;;
55050;Ecaussinnes;F;55050;Ecaussinnes;F;;;;;;;;;
55035;Le Roeulx;F;55035;Le Roeulx;F;;;;;;;;;
55086;Manage;F;55086;Manage;F;;;;;;;;;
55085;Seneffe;F;55085;Seneffe;F;;;;;;;;;
55040;Soignies;F;55040;Zinnik;F;;;;;;;;;
56000;Arrondissement de Thuin;;56000;Arrondissement Thuin;;;;;;;;;;
56001;Anderlues;F;56001;Anderlues;F;;;;;;;;;
56005;Beaumont;F;56005;Beaumont;F;;;;;;;;;
56016;Chimay;F;56016;Chimay;F;;;;;;;;;
56022;Erquelinnes;F;56022;Erquelinnes;F;;;;;;;;;
56029;Froidchapelle;F;56029;Froidchapelle;F;;;;;;;;;
56086;Ham-sur-Heure-Nalinnes;F;56086;Ham-sur-Heure-Nalinnes;F;;;;;;;;;
56044;Lobbes;F;56044;Lobbes;F;;;;;;;;;
56049;Merbes-le-Château;F;56049;Merbes-le-Château;F;;;;;;;;;
56051;Momignies;F;56051;Momignies;F;;;;;;;;;
56088;Sivry-Rance;F;56088;Sivry-Rance;F;;;;;;;;;
56078;Thuin;F;56078;Thuin;F;;;;;;;;;
57000;Arrondissement de Tournai-Mouscron;;57000;Arrondissement Doornik-Moeskroen;;;;;;;;;;
57003;Antoing;F;57003;Antoing;F;;;;;;;;;
57093;Brunehaut;F;57093;Brunehaut;F;;;;;;;;;
57018;Celles;F;57018;Celles;F;;;;;;;;;
57097;Comines-Warneton;F;57097;Komen-Waasten;F;;;;;;;;;
57027;Estaimpuis;F;57027;Estaimpuis;F;;;;;;;;;
57094;Leuze-en-Hainaut;F;57094;Leuze-en-Hainaut;F;;;;;;;;;
57095;Mont-de-l'Enclus;F;57095;Mont-de-l'Enclus;F;;;;;;;;;
57096;Mouscron;F;57096;Moeskroen;F;;;;;;;;;
57062;Pecq;F;57062;Pecq;F;;;;;;;;;
57064;Péruwelz;F;57064;Péruwelz;F;;;;;;;;;
57072;Rumes;F;57072;Rumes;F;;;;;;;;;
57081;Tournai;F;57081;Doornik;F;;;;;;;;;
58000;Arrondissement de La Louvière;;58000;Arrondissement La Louvière;;;;;;;;;;
58001;La Louvière;F;58001;La Louvière;F;;;;;;;;;
58002;Binche;F;58002;Binche;F;;;;;;;;;
58003;Estinnes;F;58003;Estinnes;F;;;;;;;;;
58004;Morlanwelz;F;58004;Morlanwelz;F;;;;;;;;;
60000;Province de Liège;;60000;Provincie Luik;;;;;;;;;;
61000;Arrondissement de Huy;;61000;Arrondissement Hoei;;;;;;;;;;
61003;Amay;F;61003;Amay;F;;;;;;;;;
61079;Anthisnes;F;61079;Anthisnes;F;;;;;;;;;
61010;Burdinne;F;61010;Burdinne;F;;;;;;;;;
61012;Clavier;F;61012;Clavier;F;;;;;;;;;
61080;Engis;F;61080;Engis;F;;;;;;;;;
61019;Ferrières;F;61019;Ferrières;F;;;;;;;;;
61024;Hamoir;F;61024;Hamoir;F;;;;;;;;;
61028;Héron;F;61028;Héron;F;;;;;;;;;
61031;Huy;F;61031;Hoei;F;;;;;;;;;
61039;Marchin;F;61039;Marchin;F;;;;;;;;;
61041;Modave;F;61041;Modave;F;;;;;;;;;
61043;Nandrin;F;61043;Nandrin;F;;;;;;;;;
61048;Ouffet;F;61048;Ouffet;F;;;;;;;;;
61081;Tinlot;F;61081;Tinlot;F;;;;;;;;;
61063;Verlaine;F;61063;Verlaine;F;;;;;;;;;
61068;Villers-le-Bouillet;F;61068;Villers-le-Bouillet;F;;;;;;;;;
61072;Wanze;F;61072;Wanze;F;;;;;;;;;
62000;Arrondissement de Liège;;62000;Arrondissement Luik;;;;;;;;;;
62003;Ans;F;62003;Ans;F;;;;;;;;;
62006;Awans;F;62006;Awans;F;;;;;;;;;
62009;Aywaille;F;62009;Aywaille;F;;;;;;;;;
62011;Bassenge;F;62011;Bitsingen;F;;;;;;;;;
62015;Beyne-Heusay;F;62015;Beyne-Heusay;F;;;;;;;;;
62119;Blégny;F;62119;Blégny;F;;;;;;;;;
62022;Chaudfontaine;F;62022;Chaudfontaine;F;;;;;;;;;
62026;Comblain-au-Pont;F;62026;Comblain-au-Pont;F;;;;;;;;;
62027;Dalhem;F;62027;Dalhem;F;;;;;;;;;
62032;Esneux;F;62032;Esneux;F;;;;;;;;;
62120;Flémalle;F;62120;Flémalle;F;;;;;;;;;
62038;Fléron;F;62038;Fléron;F;;;;;;;;;
62118;Grâce-Hollogne;F;62118;Grâce-Hollogne;F;;;;;;;;;
62051;Herstal;F;62051;Herstal;F;;;;;;;;;
62060;Juprelle;F;62060;Juprelle;F;;;;;;;;;
62063;Liège;F;62063;Luik;F;;;;;;;;;
62121;Neupré;F;62121;Neupré;F;;;;;;;;;
62079;Oupeye;F;62079;Oupeye;F;;;;;;;;;
62093;Saint-Nicolas;F;62093;Saint-Nicolas;F;;;;;;;;;
62096;Seraing;F;62096;Seraing;F;;;;;;;;;
62099;Soumagne;F;62099;Soumagne;F;;;;;;;;;
62100;Sprimont;F;62100;Sprimont;F;;;;;;;;;
62122;Trooz;F;62122;Trooz;F;;;;;;;;;
62108;Visé;F;62108;Wezet;F;;;;;;;;;
63000;Arrondissement de Verviers;;63000;Arrondissement Verviers;;;;;;;;;;
63001;Amblève;D;63001;Amel;D;;;;;;;;;
63003;Aubel;F;63003;Aubel;F;;;;;;;;;
63004;Baelen;F;63004;Baelen;F;;;;;;;;;
63012;Bullange;D;63012;Büllingen;D;;;;;;;;;
63087;Burg-Reuland;D;63087;Burg-Reuland;D;;;;;;;;;
63013;Butgenbach;D;63013;Bütgenbach;D;;;;;;;;;
63020;Dison;F;63020;Dison;F;;;;;;;;;
63023;Eupen;D;63023;Eupen;D;;;;;;;;;
63035;Herve;F;63035;Herve;F;;;;;;;;;
63038;Jalhay;F;63038;Jalhay;F;;;;;;;;;
63040;La Calamine;D;63040;Kelmis;D;;;;;;;;;
63045;Lierneux;F;63045;Lierneux;F;;;;;;;;;
63046;Limbourg;F;63046;Limburg;F;;;;;;;;;
63048;Lontzen;D;63048;Lontzen;D;;;;;;;;;
63049;Malmedy;F;63049;Malmedy;F;;;;;;;;;
63057;Olne;F;63057;Olne;F;;;;;;;;;
63058;Pepinster;F;63058;Pepinster;F;;;;;;;;;
63088;Plombières;F;63088;Plombières;F;;;;;;;;;
63061;Raeren;D;63061;Raeren;D;;;;;;;;;
63067;Saint-Vith;D;63067;Sankt Vith;D;;;;;;;;;
63072;Spa;F;63072;Spa;F;;;;;;;;;
63073;Stavelot;F;63073;Stavelot;F;;;;;;;;;
63075;Stoumont;F;63075;Stoumont;F;;;;;;;;;
63076;Theux;F;63076;Theux;F;;;;;;;;;
63089;Thimister-Clermont;F;63089;Thimister-Clermont;F;;;;;;;;;
63086;Trois-Ponts;F;63086;Trois-Ponts;F;;;;;;;;;
63079;Verviers;F;63079;Verviers;F;;;;;;;;;
63080;Waimes;F;63080;Weismes;F;;;;;;;;;
63084;Welkenraedt;F;63084;Welkenraedt;F;;;;;;;;;
64000;Arrondissement de Waremme;;64000;Arrondissement Borgworm;;;;;;;;;;
64008;Berloz;F;64008;Berloz;F;;;;;;;;;
64015;Braives;F;64015;Braives;F;;;;;;;;;
64021;Crisnée;F;64021;Crisnée;F;;;;;;;;;
64023;Donceel;F;64023;Donceel;F;;;;;;;;;
64076;Faimes;F;64076;Faimes;F;;;;;;;;;
64025;Fexhe-le-Haut-Clocher;F;64025;Fexhe-le-Haut-Clocher;F;;;;;;;;;
64029;Geer;F;64029;Geer;F;;;;;;;;;
64034;Hannut;F;64034;Hannuit;F;;;;;;;;;
64047;Lincent;F;64047;Lijsem;F;;;;;;;;;
64056;Oreye;F;64056;Oerle;F;;;;;;;;;
64063;Remicourt;F;64063;Remicourt;F;;;;;;;;;
64065;Saint-Georges-sur-Meuse;F;64065;Saint-Georges-sur-Meuse;F;;;;;;;;;
64074;Waremme;F;64074;Borgworm;F;;;;;;;;;
64075;Wasseiges;F;64075;Wasseiges;F;;;;;;;;;
80000;Province du Luxembourg;;80000;Provincie Luxemburg;;;;;;;;;;
81000;Arrondissement d'Arlon;;81000;Arrondissement Aarlen;;;;;;;;;;
81001;Arlon;F;81001;Aarlen;F;;;;;;;;;
81003;Attert;F;81003;Attert;F;;;;;;;;;
81004;Aubange;F;81004;Aubange;F;;;;;;;;;
81013;Martelange;F;81013;Martelange;F;;;;;;;;;
81015;Messancy;F;81015;Messancy;F;;;;;;;;;
82000;Arrondissement de Bastogne;;82000;Arrondissement Bastenaken;;;;;;;;;;
82003;Bastogne;F;82003;Bastenaken;F;;;;;;;;;
82005;Bertogne;F;82005;Bertogne;F;;;;;;;;;
82009;Fauvillers;F;82009;Fauvillers;F;;;;;;;;;
82037;Gouvy;F;82037;Gouvy;F;;;;;;;;;
82014;Houffalize;F;82014;Houffalize;F;;;;;;;;;
82038;Sainte-Ode;F;82038;Sainte-Ode;F;;;;;;;;;
82036;Vaux-sur-Sûre;F;82036;Vaux-sur-Sûre;F;;;;;;;;;
82032;Vielsalm;F;82032;Vielsalm;F;;;;;;;;;
83000;Arrondissement de Marche-en-Famenne;;83000;Arrondissement Marche-en-Famenne;;;;;;;;;;
83012;Durbuy;F;83012;Durbuy;F;;;;;;;;;
83013;Erezée;F;83013;Erezée;F;;;;;;;;;
83028;Hotton;F;83028;Hotton;F;;;;;;;;;
83031;La Roche-en-Ardenne;F;83031;La Roche-en-Ardenne;F;;;;;;;;;
83055;Manhay;F;83055;Manhay;F;;;;;;;;;
83034;Marche-en-Famenne;F;83034;Marche-en-Famenne;F;;;;;;;;;
83040;Nassogne;F;83040;Nassogne;F;;;;;;;;;
83044;Rendeux;F;83044;Rendeux;F;;;;;;;;;
83049;Tenneville;F;83049;Tenneville;F;;;;;;;;;
84000;Arrondissement de Neufchâteau;;84000;Arrondissement Neufchâteau;;;;;;;;;;
84009;Bertrix;F;84009;Bertrix;F;;;;;;;;;
84010;Bouillon;F;84010;Bouillon;F;;;;;;;;;
84016;Daverdisse;F;84016;Daverdisse;F;;;;;;;;;
84029;Herbeumont;F;84029;Herbeumont;F;;;;;;;;;
84033;Léglise;F;84033;Léglise;F;;;;;;;;;
84035;Libin;F;84035;Libin;F;;;;;;;;;
84077;Libramont-Chevigny;F;84077;Libramont-Chevigny;F;;;;;;;;;
84043;Neufchâteau;F;84043;Neufchâteau;F;;;;;;;;;
84050;Paliseul;F;84050;Paliseul;F;;;;;;;;;
84059;Saint-Hubert;F;84059;Saint-Hubert;F;;;;;;;;;
84068;Tellin;F;84068;Tellin;F;;;;;;;;;
84075;Wellin;F;84075;Wellin;F;;;;;;;;;
85000;Arrondissement de Virton;;85000;Arrondissement Virton;;;;;;;;;;
85007;Chiny;F;85007;Chiny;F;;;;;;;;;
85009;Etalle;F;85009;Etalle;F;;;;;;;;;
85011;Florenville;F;85011;Florenville;F;;;;;;;;;
85046;Habay;F;85046;Habay;F;;;;;;;;;
85024;Meix-devant-Virton;F;85024;Meix-devant-Virton;F;;;;;;;;;
85026;Musson;F;85026;Musson;F;;;;;;;;;
85047;Rouvroy;F;85047;Rouvroy;F;;;;;;;;;
85034;Saint-Léger;F;85034;Saint-Léger;F;;;;;;;;;
85039;Tintigny;F;85039;Tintigny;F;;;;;;;;;
85045;Virton;F;85045;Virton;F;;;;;;;;;
90000;Province de Namur;;90000;Provincie Namen;;;;;;;;;;
91000;Arrondissement de Dinant;;91000;Arrondissement Dinant;;;;;;;;;;
91005;Anhée;F;91005;Anhée;F;;;;;;;;;
91013;Beauraing;F;91013;Beauraing;F;;;;;;;;;
91015;Bièvre;F;91015;Bièvre;F;;;;;;;;;
91030;Ciney;F;91030;Ciney;F;;;;;;;;;
91034;Dinant;F;91034;Dinant;F;;;;;;;;;
91054;Gedinne;F;91054;Gedinne;F;;;;;;;;;
91059;Hamois;F;91059;Hamois;F;;;;;;;;;
91142;Hastière;F;91142;Hastière;F;;;;;;;;;
91064;Havelange;F;91064;Havelange;F;;;;;;;;;
91072;Houyet;F;91072;Houyet;F;;;;;;;;;
91103;Onhaye;F;91103;Onhaye;F;;;;;;;;;
91114;Rochefort;F;91114;Rochefort;F;;;;;;;;;
91120;Somme-Leuze;F;91120;Somme-Leuze;F;;;;;;;;;
91143;Vresse-sur-Semois;F;91143;Vresse-sur-Semois;F;;;;;;;;;
91141;Yvoir;F;91141;Yvoir;F;;;;;;;;;
92000;Arrondissement de Namur;;92000;Arrondissement Namen;;;;;;;;;;
92003;Andenne;F;92003;Andenne;F;;;;;;;;;
92006;Assesse;F;92006;Assesse;F;;;;;;;;;
92035;Eghezée;F;92035;Eghezée;F;;;;;;;;;
92138;Fernelmont;F;92138;Fernelmont;F;;;;;;;;;
92045;Floreffe;F;92045;Floreffe;F;;;;;;;;;
92048;Fosses-la-Ville;F;92048;Fosses-la-Ville;F;;;;;;;;;
92142;Gembloux;F;92142;Gembloux;F;;;;;;;;;
92054;Gesves;F;92054;Gesves;F;;;;;;;;;
92140;Jemeppe-sur-Sambre;F;92140;Jemeppe-sur-Sambre;F;;;;;;;;;
92141;La Bruyère;F;92141;La Bruyère;F;;;;;;;;;
92087;Mettet;F;92087;Mettet;F;;;;;;;;;
92094;Namur;F;92094;Namen;F;;;;;;;;;
92097;Ohey;F;92097;Ohey;F;;;;;;;;;
92101;Profondeville;F;92101;Profondeville;F;;;;;;;;;
92137;Sambreville;F;92137;Sambreville;F;;;;;;;;;
92114;Sombreffe;F;92114;Sombreffe;F;;;;;;;;;
93000;Arrondissement de Philippeville;;93000;Arrondissement Philippeville;;;;;;;;;;
93010;Cerfontaine;F;93010;Cerfontaine;F;;;;;;;;;
93014;Couvin;F;93014;Couvin;F;;;;;;;;;
93018;Doische;F;93018;Doische;F;;;;;;;;;
93022;Florennes;F;93022;Florennes;F;;;;;;;;;
93056;Philippeville;F;93056;Philippeville;F;;;;;;;;;
93090;Viroinval;F;93090;Viroinval;F;;;;;;;;;
93088;Walcourt;F;93088;Walcourt;F;;;;;;;;;
